,gender,car,reality,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,family_size,begin_month,credit,income_mean,age_gen
0,0,0,0,202500.0,0,1,1,2,13899,4709,0,0,0,2.0,6.0,1.0,101250.0,3
1,0,0,1,247500.0,0,4,0,1,11380,1540,0,0,1,3.0,5.0,1.0,82500.0,3
2,1,1,1,450000.0,4,1,1,1,19087,4434,0,1,0,2.0,22.0,2.0,225000.0,5
3,0,0,1,202500.0,0,4,1,1,15088,2092,0,1,0,2.0,37.0,0.0,101250.0,4
4,0,1,1,157500.0,2,1,1,1,15037,2105,0,0,0,2.0,26.0,2.0,78750.0,4
5,0,0,1,270000.0,4,4,1,1,13413,4996,0,0,1,4.0,18.0,1.0,67500.0,3
6,0,0,0,315000.0,4,4,2,1,17570,1978,0,0,1,1.0,41.0,2.0,315000.0,4
7,1,0,1,270000.0,0,4,1,1,14896,5420,0,0,1,2.0,53.0,0.0,135000.0,4
8,1,1,1,180000.0,0,1,1,1,15131,1466,0,0,1,3.0,38.0,2.0,60000.0,4
9,0,0,1,103500.0,4,4,1,1,15785,1308,0,0,0,2.0,5.0,2.0,51750.0,4
10,0,0,1,193500.0,4,4,2,1,19063,2213,1,1,1,1.0,40.0,2.0,193500.0,5
11,1,1,1,135000.0,0,1,1,1,11759,91,0,0,0,3.0,51.0,2.0,45000.0,3
12,0,1,1,157500.0,0,4,1,1,11938,2162,0,0,0,3.0,60.0,0.0,52500.0,3
13,0,0,0,135000.0,4,1,1,1,9887,2474,0,1,0,2.0,41.0,2.0,67500.0,2
14,0,0,1,157500.0,1,4,3,1,22922,0,0,1,0,1.0,41.0,2.0,157500.0,6
15,1,1,1,157500.0,4,4,1,5,12859,4056,0,1,0,4.0,60.0,0.0,39375.0,3
16,1,0,1,180000.0,4,4,1,1,19408,4553,0,1,0,2.0,2.0,1.0,90000.0,5
17,1,0,0,270000.0,0,4,0,5,8853,984,0,0,1,2.0,14.0,2.0,135000.0,2
18,0,0,1,216000.0,1,4,1,1,23113,0,0,0,0,2.0,37.0,2.0,108000.0,6
19,0,0,1,180000.0,4,4,1,1,13727,6031,0,0,0,2.0,7.0,2.0,90000.0,3
20,1,0,0,180000.0,4,4,1,1,19850,1753,0,1,0,2.0,35.0,2.0,90000.0,5
21,0,0,0,157500.0,1,4,1,1,21253,0,0,1,0,2.0,7.0,2.0,78750.0,5
22,0,0,0,157500.0,0,4,0,1,15198,1357,0,0,0,2.0,22.0,0.0,78750.0,4
23,1,1,0,225000.0,4,4,1,2,14542,444,1,1,1,2.0,18.0,2.0,112500.0,3
24,0,0,0,202500.0,1,4,3,1,22361,0,0,1,0,1.0,5.0,2.0,202500.0,6
25,0,0,1,225000.0,0,4,1,1,14058,3694,0,0,0,3.0,4.0,2.0,75000.0,3
26,1,1,0,135000.0,4,1,1,1,17843,3353,1,0,0,3.0,13.0,2.0,45000.0,4
27,1,1,1,405000.0,2,4,1,1,17309,3500,0,0,0,2.0,57.0,2.0,202500.0,4
28,1,1,0,112500.0,0,4,1,5,22111,2325,1,1,0,2.0,47.0,2.0,56250.0,6
29,0,0,1,121500.0,0,4,1,0,12017,1711,0,1,0,2.0,22.0,0.0,60750.0,3
30,1,1,0,225000.0,0,4,1,1,13188,227,0,0,0,2.0,33.0,2.0,112500.0,3
31,1,1,1,135000.0,0,1,1,1,11762,3452,1,0,1,2.0,18.0,0.0,67500.0,3
32,0,0,1,135000.0,4,1,1,1,13299,1628,0,0,0,2.0,2.0,0.0,67500.0,3
33,1,0,1,202500.0,4,4,1,1,19200,346,0,1,0,2.0,30.0,2.0,101250.0,5
34,1,1,1,270000.0,4,4,1,1,14488,1630,0,1,0,3.0,22.0,0.0,90000.0,3
35,0,1,0,225000.0,4,1,0,1,14438,2433,0,0,0,2.0,20.0,2.0,112500.0,3
36,0,1,0,225000.0,4,1,3,1,20200,1022,1,1,0,1.0,14.0,2.0,225000.0,5
37,1,1,1,585000.0,0,4,1,5,16653,1646,0,0,0,2.0,8.0,2.0,292500.0,4
38,0,0,1,202500.0,4,4,1,1,13582,3472,0,0,0,2.0,41.0,2.0,101250.0,3
39,1,1,1,112500.0,4,4,1,1,13022,1600,0,0,0,4.0,39.0,2.0,28125.0,3
40,1,1,1,90900.0,4,4,1,1,21700,2426,0,0,0,2.0,21.0,1.0,45450.0,5
41,0,0,1,99000.0,0,1,1,1,12752,433,0,1,0,4.0,19.0,2.0,24750.0,3
42,1,0,0,270000.0,4,4,1,1,9943,554,1,0,0,3.0,35.0,0.0,90000.0,2
43,0,0,0,67500.0,4,4,1,1,9963,1876,0,0,0,2.0,8.0,1.0,33750.0,2
44,1,0,0,247500.0,4,1,0,1,15125,199,0,0,0,2.0,26.0,2.0,123750.0,4
45,1,1,0,405000.0,4,1,1,1,18655,3200,1,1,0,2.0,4.0,0.0,202500.0,5
46,0,0,0,135000.0,1,4,4,1,21100,0,0,1,0,1.0,24.0,2.0,135000.0,5
47,0,1,1,292500.0,0,1,1,1,18409,3482,0,0,0,2.0,48.0,2.0,146250.0,5
48,0,0,1,99000.0,1,4,1,1,23585,0,0,0,0,2.0,4.0,2.0,49500.0,6
49,0,0,1,585000.0,0,4,1,1,18858,2010,0,1,0,2.0,12.0,2.0,292500.0,5
50,0,1,0,90000.0,4,4,1,1,13951,1101,1,0,0,3.0,4.0,2.0,30000.0,3
51,1,1,1,495000.0,4,2,1,5,8917,1101,0,0,1,2.0,10.0,2.0,247500.0,2
52,0,0,1,54000.0,1,4,1,1,24044,0,0,1,0,2.0,37.0,2.0,27000.0,6
53,0,1,1,306000.0,2,1,1,1,13541,3965,0,0,0,4.0,42.0,2.0,76500.0,3
54,0,0,0,99000.0,4,4,1,1,15626,422,0,0,0,3.0,2.0,1.0,33000.0,4
55,0,0,1,180000.0,4,4,1,1,13856,3010,0,0,0,2.0,24.0,2.0,90000.0,3
56,0,1,1,130500.0,4,4,1,1,16137,9391,0,1,0,2.0,29.0,2.0,65250.0,4
57,0,0,1,225000.0,0,1,3,1,17031,642,0,0,0,1.0,3.0,1.0,225000.0,4
58,0,0,1,144000.0,1,4,1,1,23334,0,0,0,0,2.0,23.0,2.0,72000.0,6
59,0,0,1,360000.0,1,1,1,1,22985,0,0,1,0,2.0,25.0,2.0,180000.0,6
60,1,1,1,112500.0,1,4,2,1,21397,0,0,0,0,1.0,1.0,1.0,112500.0,5
61,1,1,0,270000.0,0,1,1,1,11373,1371,0,0,0,3.0,15.0,2.0,90000.0,3
62,0,1,1,225000.0,4,1,1,1,17402,3153,0,1,0,2.0,40.0,1.0,112500.0,4
63,1,1,1,315000.0,4,1,1,1,15586,3337,0,0,0,2.0,21.0,2.0,157500.0,4
64,1,1,0,67500.0,0,4,3,2,9047,716,0,0,0,1.0,32.0,2.0,67500.0,2
65,0,0,1,40500.0,4,4,1,1,12729,4936,1,0,0,2.0,10.0,2.0,20250.0,3
66,1,0,1,144000.0,4,4,1,1,13761,2783,0,0,0,3.0,4.0,1.0,48000.0,3
67,0,0,1,157500.0,0,1,1,1,12135,1216,0,0,0,4.0,2.0,1.0,39375.0,3
68,0,0,0,180000.0,4,4,1,1,10309,1610,0,0,0,2.0,14.0,1.0,90000.0,2
69,0,0,1,157500.0,4,1,1,1,15462,2969,0,0,1,2.0,59.0,2.0,78750.0,4
70,1,0,1,81000.0,0,1,3,1,9874,1928,0,1,0,1.0,39.0,2.0,81000.0,2
71,1,1,0,202500.0,4,4,1,1,15904,3787,0,0,0,4.0,54.0,2.0,50625.0,4
72,0,0,0,351000.0,0,1,1,1,21574,1081,0,1,0,2.0,4.0,2.0,175500.0,5
73,0,0,1,180000.0,1,4,1,1,23269,0,0,1,0,2.0,34.0,2.0,90000.0,6
74,0,0,1,67500.0,4,4,1,1,10350,219,1,1,0,3.0,25.0,2.0,22500.0,2
75,0,1,1,315000.0,0,4,1,1,15653,5500,0,0,1,2.0,34.0,2.0,157500.0,4
76,0,1,0,315000.0,0,1,1,1,13557,586,1,1,0,2.0,15.0,2.0,157500.0,3
77,0,0,0,135000.0,4,1,3,1,9818,520,0,0,0,1.0,7.0,1.0,135000.0,2
78,0,1,1,112500.0,4,4,1,1,12690,231,1,0,0,2.0,23.0,1.0,56250.0,3
79,0,1,1,225000.0,4,1,2,1,14816,1672,0,0,0,2.0,2.0,0.0,112500.0,4
80,0,0,1,247500.0,0,4,0,1,17862,212,0,0,0,2.0,2.0,1.0,123750.0,4
81,1,1,1,135000.0,4,4,1,1,10314,962,0,0,1,2.0,0.0,0.0,67500.0,2
82,0,1,1,216000.0,4,1,0,1,15274,1423,0,0,1,2.0,53.0,2.0,108000.0,4
83,0,0,0,180000.0,4,1,1,1,11905,1700,0,0,0,4.0,38.0,1.0,45000.0,3
84,1,1,1,135000.0,1,4,1,1,23563,0,0,1,0,2.0,27.0,2.0,67500.0,6
85,1,1,0,184500.0,4,4,1,2,18013,1215,0,0,0,2.0,41.0,1.0,92250.0,4
86,1,1,1,112500.0,4,4,1,1,12571,451,1,0,1,3.0,45.0,2.0,37500.0,3
87,0,0,1,270000.0,0,4,4,1,13270,235,1,1,1,1.0,56.0,2.0,270000.0,3
88,0,1,1,360000.0,0,4,1,1,20412,5427,0,0,0,2.0,45.0,2.0,180000.0,5
89,1,0,0,450000.0,0,2,1,1,14465,4145,1,1,0,2.0,59.0,2.0,225000.0,3
90,0,0,1,45000.0,2,4,1,1,20200,9404,1,0,0,2.0,30.0,2.0,22500.0,5
91,0,1,1,202500.0,4,4,1,1,18744,2988,0,0,0,2.0,20.0,2.0,101250.0,5
92,1,1,1,135000.0,0,4,1,1,12190,691,0,0,0,3.0,5.0,2.0,45000.0,3
93,0,0,1,202500.0,0,4,3,1,19053,3629,0,0,0,1.0,22.0,1.0,202500.0,5
94,0,0,1,180000.0,1,4,1,1,23770,0,0,0,0,2.0,26.0,2.0,90000.0,6
95,1,0,1,79650.0,1,4,1,1,16081,0,0,1,0,2.0,14.0,2.0,39825.0,4
96,1,0,1,450000.0,0,4,1,1,23674,2087,0,0,0,2.0,56.0,2.0,225000.0,6
97,1,1,1,157500.0,4,4,0,1,9373,1212,0,0,0,2.0,46.0,2.0,78750.0,2
98,1,1,1,450000.0,0,1,3,1,10837,588,0,0,1,1.0,5.0,2.0,450000.0,2
99,0,0,0,270000.0,2,4,2,1,19363,12332,0,1,1,1.0,35.0,2.0,270000.0,5
100,0,0,1,135000.0,4,1,1,1,22112,8491,0,0,0,2.0,9.0,2.0,67500.0,6
101,0,0,1,81000.0,4,4,1,1,19661,3046,1,1,0,2.0,2.0,1.0,40500.0,5
102,0,0,0,135000.0,0,4,1,1,12269,604,0,0,0,3.0,12.0,2.0,45000.0,3
103,1,1,0,315000.0,4,1,1,1,15825,3720,1,1,0,2.0,12.0,2.0,157500.0,4
104,1,1,1,225000.0,0,1,3,1,15994,2537,0,1,0,1.0,7.0,0.0,225000.0,4
105,1,1,1,135000.0,0,4,1,1,9984,2606,0,0,0,2.0,5.0,2.0,67500.0,2
106,0,0,0,90000.0,4,4,1,1,16118,1959,0,1,0,3.0,47.0,2.0,30000.0,4
107,0,1,0,306000.0,4,1,1,1,9310,1678,0,0,0,3.0,4.0,1.0,102000.0,2
108,0,0,1,153000.0,4,1,3,1,10762,683,0,1,0,1.0,22.0,2.0,153000.0,2
109,0,0,1,126000.0,4,4,1,1,22811,2234,1,1,0,2.0,13.0,2.0,63000.0,6
110,1,1,1,315000.0,0,1,1,1,12846,164,0,0,0,2.0,57.0,2.0,157500.0,3
111,1,1,1,225000.0,4,4,1,1,16175,2371,0,0,0,3.0,44.0,2.0,75000.0,4
112,0,0,0,193500.0,4,4,3,1,17826,201,0,1,0,1.0,4.0,2.0,193500.0,4
113,0,0,1,90000.0,0,4,1,1,17384,1138,0,0,0,4.0,36.0,1.0,22500.0,4
114,1,1,1,135000.0,4,1,1,1,11564,2944,0,0,1,4.0,43.0,2.0,33750.0,3
115,0,0,0,81000.0,1,4,1,1,20920,0,0,0,0,2.0,49.0,2.0,40500.0,5
116,0,1,1,382500.0,4,4,1,1,14317,2751,0,0,0,3.0,11.0,2.0,127500.0,3
117,0,0,1,202500.0,0,4,1,1,16173,674,0,0,0,2.0,27.0,2.0,101250.0,4
118,0,0,1,112500.0,4,1,1,1,18259,5756,0,1,0,2.0,47.0,2.0,56250.0,5
119,0,0,1,144000.0,4,4,1,1,12393,1854,1,1,0,4.0,0.0,1.0,36000.0,3
120,0,0,1,157500.0,1,4,4,1,21497,0,0,0,0,1.0,4.0,1.0,157500.0,5
121,0,0,0,144000.0,4,4,1,2,16641,9988,1,1,0,2.0,35.0,2.0,72000.0,4
122,0,1,1,283500.0,2,1,1,1,12902,4120,0,0,0,4.0,39.0,2.0,70875.0,3
123,0,0,1,202500.0,4,4,1,1,19431,6226,0,0,0,2.0,48.0,2.0,101250.0,5
124,0,1,1,90000.0,0,4,1,1,15525,3357,0,0,0,4.0,55.0,2.0,22500.0,4
125,1,0,1,360000.0,0,4,1,1,12483,4039,0,0,0,2.0,42.0,2.0,180000.0,3
126,0,1,0,175500.0,0,4,3,2,11709,4983,0,0,0,2.0,45.0,2.0,87750.0,3
127,1,1,1,360000.0,0,1,1,1,16537,410,0,1,1,3.0,30.0,2.0,120000.0,4
128,0,0,1,112500.0,4,4,1,1,13741,5221,0,0,0,3.0,38.0,1.0,37500.0,3
